FavouritesCount,FriendsCount,StatusesCount,isVerified,isTranslator,location,Lang,isRetweetedByMe
104712,1784,12840,false,false,Bear- DE,en,false
3787,3407,11779,false,false,?MANCHESTER?ENGLAND?,en,false
652,451,35460,false,false,Find us somewhere in the ?,en,false
53,99,102,false,false,Terrell- TX,en,false
26521,245,9720,false,false,San Francisco- CA,en,false
10851,2744,1343,false,false,Manchester- England,en,false
859,323,22034,false,false,Un trou,fr,false
13027,980,3590,false,false,Croydon- London,en,false
3513,1291,16091,true,false,Usually London,en,false
2258,456,8152,false,false,Rugby,en,false
17549,4066,13655,false,false,???????- ???,ar,false
12056,1216,9076,false,false,null,en,false
6628,274,5555,false,false,null,en,false
277,197,559,false,false,Barnstaple- Devon,en,false
75,39,283,false,false,Papua- Indonesia,en,false
611,685,3246,false,false,Newbury / Bournemouth,en,false
1336,433,4814,false,false,Sudbury Suffolk,en,false
10394,2592,16156,false,false,Newcastle UK / Los Angeles USA,en,false
10480,153,2789,false,false,Kent,en,false
1200,438,1509,false,false,South East- England,en-gb,false
74,4,3436,false,false,null,en,false
273,83,391,false,false,Halland,en,false
3523,338,16581,false,false,North London,en,false
4456,342,4374,false,false,Hampshire uk,en-gb,false
598,287,478,false,false,Abuja- Nigeria,en,false
13114,173,5028,false,false,North of Germany,de,false
1,59,151,false,false,null,en,false
1971,480,1427,false,false,Newton- KS,en,false
1582,1580,12431,false,false,Melbourne,en,false
11102,2784,54202,false,false,null,en,false
82610,3178,21580,false,false,In Your ?,en,false
72674,4850,25665,false,false,Richmond- VA via Jersey ,en,false
16439,2867,17937,false,false,null,en-gb,false
934,360,2132,false,false,St-Michel-de-Bellechasse,fr,false
432,504,427,false,false,null,en,false
1309,229,7459,false,false,Johannesburg - SA,en,false
652,451,35462,false,false,Find us somewhere in the ?,en,false
600,898,113772,false,false,?.Liverpool,ar,false
7821,1161,5902,false,false,United States,en,false
165,488,608,false,false,null,en-GB,false
40,49,286,false,false,Whitworth- England,en,false
159,186,225,false,false,null,es,false
5959,437,2409,false,false,San Antonio- TX,en,false
7312,1271,6738,false,false,I'll BE ABOUT ,en,false
523,782,748,false,false,null,en,false
5510,286,17933,false,false,Miami- FL,en,false
